movieId,userId,rating,timestamp,label,releaseYear,movieGenre1,movieGenre2,movieGenre3,movieRatingCount,movieAvgRating,movieRatingStddev,userRatedMovie1,userRatedMovie2,userRatedMovie3,userRatedMovie4,userRatedMovie5,userRatingCount,userAvgReleaseYear,userReleaseYearStddev,userAvgRating,userRatingStddev,userGenre1,userGenre2,userGenre3,userGenre4,userGenre5
1,101,3,877136039,0,1995,Animation,Children's,Comedy,452,3.88,0.93,50,"","","","",6,1992,7.69,3.17,0.41,Action,Adventure,Romance,Sci-Fi,War
1,102,3,883748352,0,1995,Animation,Children's,Comedy,452,3.88,0.93,307,612,319,258,"",23,1994,12.49,2.83,0.72,Drama,Sci-Fi,Comedy,Musical,Romance
1,134,5,891732756,1,1995,Animation,Children's,Comedy,452,3.88,0.93,15,338,316,879,294,24,1996,0.54,3.58,1.06,Action,Drama,Thriller,Romance,Comedy
1,144,4,888104063,1,1995,Animation,Children's,Comedy,452,3.88,0.93,100,124,181,248,117,38,1995,3.86,3.53,1.11,Drama,Action,Romance,Comedy,War
1,150,4,878746441,1,1995,Animation,Children's,Comedy,452,3.88,0.93,268,324,288,319,"",4,1996,0.58,4.25,0.50,Romance,Comedy,Musical,Horror,Thriller
1,174,3,886433898,0,1995,Animation,Children's,Comedy,452,3.88,0.93,111,244,280,458,276,27,1995,3.82,4.67,0.55,Drama,Romance,Comedy,Thriller,Crime
1,181,3,878962392,0,1995,Animation,Children's,Comedy,452,3.88,0.93,220,"","","","",100,1992,9.16,1.11,0.45,Comedy,Romance,"","",""
1,2,4,888550871,1,1995,Animation,Children's,Comedy,452,3.88,0.93,297,306,299,269,303,16,1996,0.68,3.38,0.81,Drama,Romance,Comedy,War,Crime
1,201,3,884113635,0,1995,Animation,Children's,Comedy,452,3.88,0.93,275,588,469,157,466,100,1988,8.98,3.05,0.99,Drama,Thriller,Action,Horror,Sci-Fi
1,204,2,892513979,0,1995,Animation,Children's,Comedy,452,3.88,0.93,9,45,191,1194,482,39,1994,6.91,3.49,1.34,Drama,Comedy,Crime,Thriller,Mystery
1,210,5,887731052,1,1995,Animation,Children's,Comedy,452,3.88,0.93,50,255,290,257,1012,42,1986,10.22,4.00,0.91,Comedy,Action,Drama,Romance,Adventure
1,235,4,889655571,1,1995,Animation,Children's,Comedy,452,3.88,0.93,135,655,275,100,792,66,1982,16.26,3.92,0.90,Drama,Comedy,War,Romance,Action
