movieId,userId,rating,timestamp,label,releaseYear,movieGenre1,movieGenre2,movieGenre3,movieRatingCount,movieAvgRating,movieRatingStddev,userRatedMovie1,userRatedMovie2,userRatedMovie3,userRatedMovie4,userRatedMovie5,userRatingCount,userAvgReleaseYear,userReleaseYearStddev,userAvgRating,userRatingStddev,userGenre1,userGenre2,userGenre3,userGenre4,userGenre5
1,130,5,874953595,1,1995,Animation,Children's,Comedy,452,3.88,0.93,150,508,7,358,748,26,1996,0.64,3.96,1.08,Drama,Thriller,Action,Comedy,Romance
1,131,4,883681384,1,1995,Animation,Children's,Comedy,452,3.88,0.93,744,845,287,14,124,7,1995,0.95,4.00,0.82,Drama,Mystery,Romance,Comedy,War
1,134,5,891732756,1,1995,Animation,Children's,Comedy,452,3.88,0.93,15,338,316,879,294,24,1996,0.54,3.58,1.06,Action,Drama,Thriller,Romance,Comedy
1,15,1,879455635,0,1995,Animation,Children's,Comedy,452,3.88,0.93,9,285,50,275,459,39,1995,5.02,3.18,1.34,Drama,Romance,Thriller,Crime,War
1,162,4,877635819,1,1995,Animation,Children's,Comedy,452,3.88,0.93,181,222,742,298,50,9,1992,7.41,4.00,0.71,Action,Sci-Fi,Adventure,Drama,Romance
1,181,3,878962392,0,1995,Animation,Children's,Comedy,452,3.88,0.93,220,"","","","",100,1992,9.16,1.11,0.45,Comedy,Romance,"","",""
1,204,2,892513979,0,1995,Animation,Children's,Comedy,452,3.88,0.93,9,45,191,1194,482,39,1994,6.91,3.49,1.34,Drama,Comedy,Crime,Thriller,Mystery
1,256,5,882150980,1,1995,Animation,Children's,Comedy,452,3.88,0.93,1086,628,237,9,471,30,1996,0.68,4.17,0.91,Drama,Thriller,Action,Romance,Comedy
1,296,5,884196689,1,1995,Animation,Children's,Comedy,452,3.88,0.93,845,14,297,222,628,48,1995,4.95,3.81,1.48,Drama,Romance,Comedy,Action,War
1,312,5,891698832,1,1995,Animation,Children's,Comedy,452,3.88,0.93,1050,89,114,179,611,97,1970,20.88,4.47,0.93,Drama,Thriller,Comedy,Romance,Mystery
1,345,3,884990938,0,1995,Animation,Children's,Comedy,452,3.88,0.93,258,238,518,318,200,61,1993,9.07,3.93,1.20,Drama,Thriller,Romance,Comedy,Crime
1,429,3,882385785,0,1995,Animation,Children's,Comedy,452,3.88,0.93,549,584,531,207,134,100,1983,16.46,3.66,0.88,Drama,Comedy,Action,Thriller,Romance
1,488,3,891294896,0,1995,Animation,Children's,Comedy,452,3.88,0.93,510,228,89,174,56,100,1976,19.09,3.50,0.81,Drama,Action,War,Adventure,Comedy
1,537,2,886029889,0,1995,Animation,Children's,Comedy,452,3.88,0.93,283,137,13,275,285,92,1996,0.73,2.47,1.24,Drama,Romance,Comedy,Crime,Thriller
1,643,5,891445287,1,1995,Animation,Children's,Comedy,452,3.88,0.93,288,408,50,515,100,7,1990,8.19,3.86,0.69,Thriller,Drama,Action,War,Crime
